micros,ax,ay
372218,-0.0990,-0.0270
375477,-0.0991,-0.0268
383455,-0.0991,-0.0267
391482,-0.0988,-0.0268
399478,-0.0992,-0.0268
407471,-0.0990,-0.0271
415483,-0.0991,-0.0271
423456,-0.0992,-0.0274
431482,-0.0991,-0.0269
439464,-0.0993,-0.0269
447476,-0.0993,-0.0268
455491,-0.0991,-0.0269
463488,-0.0992,-0.0270
471462,-0.0990,-0.0272
479477,-0.0989,-0.0270
487475,-0.0988,-0.0270
495463,-0.0992,-0.0272
503466,-0.0989,-0.0270
511451,-0.0992,-0.0270
519463,-0.0991,-0.0273
527462,-0.0990,-0.0271
535462,-0.0991,-0.0270
543453,-0.0987,-0.0270
551465,-0.0992,-0.0273
559467,-0.0989,-0.0270
567467,-0.0989,-0.0271
575460,-0.0992,-0.0273
583468,-0.0990,-0.0272
591452,-0.0990,-0.0273
599468,-0.0989,-0.0272
607453,-0.0988,-0.0274
615467,-0.0989,-0.0271
623462,-0.0991,-0.0272
631471,-0.0988,-0.0271
639463,-0.0989,-0.0275
647469,-0.0991,-0.0276
655459,-0.0991,-0.0273
663482,-0.0988,-0.0272
671494,-0.0988,-0.0273
679474,-0.0988,-0.0272
687476,-0.0986,-0.0272
695486,-0.0988,-0.0273
703481,-0.0990,-0.0274
711465,-0.0989,-0.0272
719471,-0.0989,-0.0272
727473,-0.0988,-0.0275
735479,-0.0990,-0.0275
743472,-0.0988,-0.0273
751466,-0.0987,-0.0274
759459,-0.0987,-0.0274
767474,-0.0988,-0.0276
775479,-0.0987,-0.0274
783475,-0.0988,-0.0271
791464,-0.0986,-0.0274
799470,-0.0988,-0.0274
807472,-0.0988,-0.0273
815474,-0.0988,-0.0272
823475,-0.0986,-0.0275
831486,-0.0987,-0.0274
839474,-0.0987,-0.0276
847485,-0.0990,-0.0275
855464,-0.0987,-0.0276
863480,-0.0987,-0.0274
871473,-0.0987,-0.0275
879482,-0.0989,-0.0272
887474,-0.0986,-0.0274
895481,-0.0988,-0.0276
903479,-0.0988,-0.0278
911467,-0.0987,-0.0272
919482,-0.0988,-0.0274
927477,-0.0990,-0.0273
935482,-0.0990,-0.0275
943470,-0.0990,-0.0275
951477,-0.0989,-0.0276
959480,-0.0990,-0.0274
967489,-0.0988,-0.0276
975472,-0.0989,-0.0274
983485,-0.0987,-0.0274
991484,-0.0989,-0.0272
999488,-0.0986,-0.0273
1007493,-0.0984,-0.0273
1015490,-0.0989,-0.0276
1023510,-0.0988,-0.0273
1031475,-0.0989,-0.0274
1039480,-0.0986,-0.0275
1047479,-0.0988,-0.0275
1055509,-0.0988,-0.0274
1063498,-0.0988,-0.0274
1071510,-0.0986,-0.0276
1079480,-0.0988,-0.0277
1087510,-0.0984,-0.0200
1095505,-0.0985,0.0011
1103514,-0.0987,0.0195
1111517,-0.0991,0.0426
1119519,-0.1017,0.0865
1127502,-0.1034,0.1495
1135499,-0.1123,0.2351
1143513,-0.1302,0.3416
1151518,-0.1585,0.4670
1159492,-0.1991,0.6256
1167519,-0.2456,0.8132
1175513,-0.2625,0.8672
1183521,-0.2622,0.8674
1191508,-0.2623,0.8671
1199520,-0.2625,0.8671
1207509,-0.2627,0.8671
1215517,-0.2627,0.8670
1223515,-0.2629,0.8671
1231527,-0.2631,0.8671
1239518,-0.2562,0.8685
1247487,-0.2176,0.8809
1255517,-0.1360,0.9089
1263512,-0.0734,0.9222
1271519,-0.0659,0.9229
1279512,-0.0398,0.9238
1287492,-0.0094,0.9214
1295505,0.0311,0.9078
1303502,0.0791,0.8907
1311501,0.1221,0.8739
1319531,0.1618,0.8569
1327523,0.2054,0.8382
1335541,0.2633,0.8156
1343529,0.3370,0.7875
1351523,0.4406,0.7493
1359497,0.5159,0.7133
1367501,0.5504,0.6947
1375524,0.5502,0.6941
1383532,0.5498,0.6935
1391518,0.5512,0.6850
1399532,0.5551,0.6563
1407519,0.5626,0.6101
1415529,0.5831,0.5530
1423502,0.5962,0.4983
1431514,0.6143,0.4279
1439526,0.6406,0.3275
1447491,0.6703,0.2155
1455503,0.7004,0.0897
1463519,0.7190,-0.0077
1471536,0.7194,-0.0341
1479523,0.7126,-0.0477
1487512,0.6954,-0.0966
1495506,0.6700,-0.1823
1503515,0.6307,-0.3487
1511511,0.5873,-0.5813
1519505,0.5279,-0.7637
1527507,0.5259,-0.7648
1535502,0.5249,-0.7652
1543493,0.4666,-0.7856
1551502,0.3625,-0.8243
1559530,0.2179,-0.8735
1567537,0.0486,-0.9339
1575532,-0.1044,-0.9737
1583519,-0.1629,-0.9714
1591531,-0.2310,-0.9539
1599509,-0.3221,-0.9234
1607531,-0.4348,-0.8844
1615510,-0.5598,-0.8415
1623533,-0.6981,-0.7949
1631518,-0.7830,-0.7636
1639532,-0.7865,-0.7634
1647523,-0.7904,-0.7530
1655532,-0.7984,-0.7202
1663498,-0.8054,-0.6781
1671536,-0.8137,-0.6341
1679510,-0.8188,-0.5781
1687536,-0.8136,-0.5053
1695530,-0.8265,-0.4102
1703539,-0.8551,-0.2812
1711524,-0.8971,-0.1474
1719539,-0.9260,-0.0306
1727514,-0.9432,-0.0135
1735510,-0.9489,-0.0135
1743507,-0.9479,-0.0118
1751514,-0.9467,-0.0055
1759508,-0.9446,0.0016
1767531,-0.9413,0.0125
1775515,-0.9323,0.0319
1783567,-0.9088,0.0729
1791512,-0.8862,0.1420
1799524,-0.8730,0.2264
1807507,-0.8550,0.3088
1815508,-0.8380,0.4057
1823509,-0.8130,0.5300
1831521,-0.7820,0.6404
1839511,-0.7638,0.6882
1847505,-0.7633,0.6896
1855503,-0.7633,0.6897
1863519,-0.7635,0.6896
1871529,-0.7633,0.6897
1879517,-0.7637,0.6898
1887531,-0.7635,0.6897
1895510,-0.7633,0.6899
1903525,-0.7630,0.6900
1911507,-0.7624,0.6899
1919509,-0.7613,0.6908
1927507,-0.7595,0.6918
1935514,-0.7575,0.6929
1943516,-0.7553,0.6927
1951530,-0.7538,0.6929
1959546,-0.7526,0.6927
1967521,-0.7508,0.6929
1975518,-0.7458,0.6938
1983530,-0.6928,0.7157
1991547,-0.6215,0.7408
1999519,-0.5373,0.7660
2007550,-0.4169,0.8019
2015535,-0.2944,0.8403
2023547,-0.2307,0.8610
2031544,-0.1780,0.8785
2039552,-0.0980,0.9094
2047547,-0.0836,0.9125
2055546,-0.0696,0.9125
2063541,-0.0636,0.9130
2071564,-0.0614,0.9132
2079531,-0.0585,0.9135
2087533,-0.0506,0.9134
2095515,-0.0311,0.9141
2103519,-0.0043,0.9127
2111522,0.0220,0.9036
2119530,0.0560,0.8935
2127539,0.0874,0.8822
2135529,0.1165,0.8709
2143542,0.1507,0.8571
2151527,0.2001,0.8367
2159538,0.2797,0.8059
2167524,0.3617,0.7760
2175541,0.4698,0.7307
2183529,0.5484,0.6909
2191564,0.5469,0.6899
2199531,0.5493,0.6712
2207535,0.5608,0.6247
2215515,0.5792,0.5630
2223545,0.5917,0.5093
2231515,0.6048,0.4586
2239520,0.6215,0.3984
2247529,0.6416,0.3183
2255521,0.6619,0.2302
2263530,0.6800,0.1400
2271528,0.7027,0.0442
2279535,0.7194,-0.0356
2287534,0.7074,-0.0695
2295529,0.6824,-0.1699
2303533,0.6520,-0.3315
2311520,0.6131,-0.5780
2319537,0.5483,-0.7628
2327541,0.5506,-0.7635
2335535,0.5504,-0.7637
2343538,0.5474,-0.7639
2351541,0.5161,-0.7762
2359536,0.4480,-0.8032
2367534,0.3511,-0.8349
2375535,0.2287,-0.8736
2383522,0.0918,-0.9233
2391519,-0.0558,-0.9680
2399521,-0.0827,-0.9726
2407519,-0.1038,-0.9747
2415522,-0.1255,-0.9762
2423535,-0.1500,-0.9731
2431536,-0.1876,-0.9637
2439529,-0.2396,-0.9483
2447548,-0.3038,-0.9282
2455535,-0.3748,-0.9051
2463540,-0.4486,-0.8799
2471544,-0.5438,-0.8490
2479528,-0.6643,-0.8063
2487573,-0.7765,-0.7635
2495560,-0.7882,-0.6971
2503567,-0.7924,-0.6063
2511561,-0.8178,-0.4840
2519571,-0.8510,-0.3419
2527547,-0.8910,-0.1948
2535550,-0.9322,-0.0501
2543531,-0.9549,-0.0138
2551552,-0.9492,-0.0086
2559545,-0.9459,0.0055
2567553,-0.9384,0.0344
2575537,-0.9224,0.0892
2583531,-0.9070,0.1568
2591535,-0.8830,0.2417
2599531,-0.8546,0.3655
2607535,-0.8133,0.5348
2615536,-0.7644,0.6874
2623540,-0.7638,0.6882
2631556,-0.7637,0.6882
2639554,-0.7641,0.6883
2647537,-0.7641,0.6888
2655538,-0.7640,0.6890
2663539,-0.7620,0.6900
2671563,-0.7594,0.6923
2679558,-0.7497,0.6978
2687569,-0.6805,0.7290
2695557,-0.6069,0.7552
2703570,-0.4968,0.7890
2711567,-0.3402,0.8371
2719576,-0.1801,0.8920
2727554,-0.0697,0.9224
2735572,-0.0291,0.9237
2743564,0.0324,0.9053
2751571,0.1073,0.8786
2759561,0.1791,0.8493
2767570,0.2609,0.8177
2775568,0.3449,0.7885
2783576,0.4494,0.7516
2791565,0.5203,0.7154
2799576,0.5487,0.7006
2807585,0.5485,0.6994
2815566,0.5491,0.6900
2823571,0.5536,0.6602
2831565,0.5599,0.6180
2839573,0.5789,0.5627
2847567,0.5936,0.5066
2855576,0.6100,0.4430
2863556,0.6329,0.3601
2871576,0.6573,0.2600
2879545,0.6830,0.1570
2887549,0.7097,0.0551
2895545,0.7237,-0.0209
2903551,0.7246,-0.0324
2911554,0.7216,-0.0324
2919557,0.7081,-0.0658
2927549,0.6787,-0.1788
2935551,0.6346,-0.3754
2943561,0.5671,-0.6568
2951556,0.5194,-0.7641
2959564,0.5203,-0.7643
2967581,0.5194,-0.7644
2975600,0.5151,-0.7645
2983573,0.4887,-0.7695
2991578,0.4013,-0.8026
2999581,0.2733,-0.8483
3007579,0.1090,-0.9029
3015577,-0.0736,-0.9674
3023558,-0.1154,-0.9704
3031586,-0.1730,-0.9594
3039580,-0.2459,-0.9382
3047579,-0.3364,-0.9100
3055586,-0.4341,-0.8793
3063562,-0.5681,-0.8344
3071585,-0.7028,-0.7869
3079582,-0.7679,-0.7514
3087603,-0.7715,-0.6837
3095587,-0.7783,-0.6008
3103597,-0.8025,-0.4698
3111580,-0.8477,-0.3241
3119592,-0.8861,-0.1880
3127585,-0.9150,-0.0566
3135585,-0.9185,0.0460
3143581,-0.8862,0.1753
3151591,-0.8372,0.3375
3159565,-0.7740,0.5265
3167597,-0.7191,0.6983
3175586,-0.7142,0.6987
3183590,-0.7133,0.6983
3191585,-0.7133,0.6980
3199597,-0.7133,0.6980
3207587,-0.7131,0.6983
3215622,-0.7131,0.6983
3223588,-0.7133,0.6982
3231588,-0.7134,0.6977
3239591,-0.7135,0.6980
3247563,-0.7133,0.6979
3255594,-0.6920,0.7027
3263593,-0.6504,0.7182
3271617,-0.6162,0.7276
3279607,-0.5950,0.7356
3287612,-0.5833,0.7407
3295616,-0.5826,0.7461
3303600,-0.5790,0.7507
3311626,-0.5666,0.7563
3319590,-0.5504,0.7624
3327601,-0.5296,0.7679
3335621,-0.4762,0.7838
3343586,-0.4091,0.8049
3351596,-0.3388,0.8277
3359615,-0.2499,0.8582
3367565,-0.1587,0.8904
3375616,-0.0879,0.9156
3383570,-0.0679,0.9162
3391616,-0.0487,0.9164
3399600,-0.0233,0.9171
3407592,0.0064,0.9121
3415581,0.0518,0.8972
3423621,0.1113,0.8748
3431609,0.1718,0.8480
3439600,0.2621,0.8176
3447594,0.3581,0.7836
3455621,0.4716,0.7389
3463609,0.5625,0.6920
3471624,0.5588,0.6865
3479619,0.5647,0.6342
3487629,0.5784,0.5590
3495615,0.6018,0.4830
3503610,0.6237,0.3995
3511619,0.6468,0.3092
3519620,0.6741,0.2111
3527609,0.7091,0.1037
3535566,0.7352,0.0057
3543591,0.7347,-0.0324
3551576,0.7318,-0.0338
3559590,0.7267,-0.0558
3567586,0.7081,-0.1277
3575615,0.6823,-0.2397
3583621,0.6501,-0.3814
3591616,0.6262,-0.5291
3599614,0.5896,-0.6740
3607619,0.5574,-0.7640
3615585,0.5555,-0.7646
3623590,0.5476,-0.7649
3631596,0.5417,-0.7714
3639591,0.5351,-0.7751
3647569,0.5207,-0.7806
3655576,0.4901,-0.7961
3663597,0.4355,-0.8176
3671600,0.3534,-0.8464
3679599,0.2494,-0.8805
3687605,0.1291,-0.9138
3695593,-0.0013,-0.9535
3703583,-0.1090,-0.9756
3711585,-0.1546,-0.9796
3719579,-0.1876,-0.9792
3727575,-0.2136,-0.9725
3735599,-0.2332,-0.9672
3743584,-0.2500,-0.9628
3751589,-0.2648,-0.9586
3759590,-0.2811,-0.9542
3767585,-0.3000,-0.9485
3775600,-0.3221,-0.9421
3783588,-0.3528,-0.9325
3791597,-0.3916,-0.9194
3799609,-0.4391,-0.9040
3807594,-0.4809,-0.8893
3815584,-0.5677,-0.8568
3823606,-0.6292,-0.8337
3831590,-0.7095,-0.8053
3839597,-0.7874,-0.7710
3847609,-0.7881,-0.7711
3855596,-0.7889,-0.7602
3863584,-0.7938,-0.7458
3871613,-0.7984,-0.7285
3879587,-0.8011,-0.7021
3887598,-0.8048,-0.6650
3895602,-0.8079,-0.6216
3903592,-0.8130,-0.5578
3911581,-0.8335,-0.4811
3919592,-0.8538,-0.4082
3927596,-0.8721,-0.3312
3935597,-0.8983,-0.2433
3943603,-0.9188,-0.1458
3951602,-0.9423,-0.0533
3959638,-0.9473,-0.0163
3967618,-0.9482,-0.0076
3975626,-0.9484,0.0008
3983621,-0.9481,0.0128
3991638,-0.9467,0.0308
3999609,-0.9394,0.0644
4007640,-0.9262,0.1200
4015610,-0.9143,0.1772
4023615,-0.8958,0.2616
4031614,-0.8665,0.3691
4039623,-0.8221,0.5171
4047617,-0.7691,0.6749
4055604,-0.7612,0.6927
4063589,-0.7611,0.6927
4071610,-0.7601,0.6933
4079595,-0.7563,0.6952
4087608,-0.7210,0.7117
4095593,-0.6752,0.7312
4103607,-0.6365,0.7455
4111611,-0.5878,0.7618
4119605,-0.5155,0.7846
4127594,-0.4170,0.8147
4135593,-0.3115,0.8470
4143596,-0.2244,0.8766
4151626,-0.1273,0.9106
4159609,-0.0824,0.9215
4167602,-0.0694,0.9220
4175600,-0.0450,0.9222
4183606,-0.0101,0.9220
4191612,0.0333,0.9087
4199623,0.0912,0.8891
4207602,0.1635,0.8641
4215599,0.2371,0.8400
4223602,0.3056,0.8162
4231601,0.3759,0.7891
4239607,0.4512,0.7578
4247600,0.5200,0.7243
4255609,0.5556,0.7036
4263598,0.5555,0.7031
4271610,0.5554,0.7026
4279596,0.5550,0.6983
4287626,0.5572,0.6761
4295635,0.5610,0.6365
4303635,0.5671,0.5802
4311605,0.5797,0.5279
4319633,0.5961,0.4777
4327631,0.6156,0.4190
4335612,0.6342,0.3499
4343611,0.6559,0.2711
4351597,0.6753,0.1972
4359606,0.6936,0.1298
4367611,0.7077,0.0675
4375602,0.7168,0.0161
4383614,0.7190,-0.0036
4391605,0.7195,-0.0230
4399598,0.7195,-0.0263
4407615,0.7193,-0.0285
4415617,0.7180,-0.0384
4423623,0.7134,-0.0633
4431620,0.7051,-0.1029
4439617,0.6965,-0.1457
4447602,0.6875,-0.1919
4455618,0.6761,-0.2469
4463604,0.6617,-0.3168
4471624,0.6377,-0.4127
4479605,0.6055,-0.5412
4487619,0.5693,-0.7089
4495611,0.5470,-0.7624
4503626,0.5471,-0.7626
4511609,0.5431,-0.7627
4519618,0.5270,-0.7633
4527611,0.5034,-0.7712
4535628,0.4607,-0.7891
4543611,0.4091,-0.8104
4551609,0.3474,-0.8332
4559633,0.2628,-0.8626
4567622,0.1568,-0.8967
4575662,0.0215,-0.9390
4583651,-0.0965,-0.9712
4591668,-0.1039,-0.9727
4599635,-0.1214,-0.9737
4607641,-0.1365,-0.9757
4615637,-0.1502,-0.9768
4623640,-0.1702,-0.9773
4631639,-0.1978,-0.9695
4639685,-0.2326,-0.9577
4647633,-0.2784,-0.9435
4655621,-0.3321,-0.9258
4663611,-0.3935,-0.9047
4671627,-0.4649,-0.8806
4679616,-0.5443,-0.8535
