micros,ax,ay
718717,-0.1117,-0.0136
718809,-0.1115,-0.0134
724301,-0.1114,-0.0135
732367,-0.1114,-0.0134
740315,-0.1116,-0.0136
748312,-0.1117,-0.0133
756305,-0.1115,-0.0136
764306,-0.1117,-0.0136
772319,-0.1116,-0.0137
780368,-0.1117,-0.0138
788339,-0.1115,-0.0136
796315,-0.1116,-0.0138
804323,-0.1115,-0.0136
812278,-0.1115,-0.0138
820314,-0.1118,-0.0135
828278,-0.1121,-0.0137
836328,-0.1121,-0.0138
844278,-0.1117,-0.0137
852334,-0.1118,-0.0135
860271,-0.1118,-0.0136
868323,-0.1116,-0.0136
876289,-0.1107,-0.0135
884332,-0.1094,-0.0134
892278,-0.1030,-0.0137
900332,-0.0950,-0.0137
908281,-0.0937,-0.0135
916379,-0.0936,-0.0136
924292,-0.0948,-0.0135
932339,-0.0955,-0.0135
940307,-0.0957,-0.0136
948331,-0.0956,-0.0140
956309,-0.0959,-0.0139
964285,-0.0959,-0.0134
972337,-0.0959,-0.0135
980399,-0.0958,-0.0139
988324,-0.0957,-0.0136
996280,-0.0957,-0.0139
1004329,-0.0959,-0.0137
1012312,-0.0961,-0.0137
1020337,-0.1037,-0.0139
1028280,-0.1263,-0.0172
1036316,-0.1324,-0.0175
1044261,-0.1375,-0.0176
1052316,-0.1411,-0.0172
1060271,-0.1445,-0.0171
1068331,-0.1479,-0.0125
1076265,-0.1502,0.0005
1084320,-0.1510,0.0139
1092263,-0.1546,0.0356
1100312,-0.1664,0.0840
1108271,-0.1786,0.1530
1116320,-0.1905,0.2383
1124266,-0.2009,0.3397
1132374,-0.2066,0.4547
1140288,-0.2085,0.5779
1148297,-0.1994,0.7160
1156281,-0.1640,0.8468
1164286,-0.1074,0.9269
1172301,-0.0822,0.9311
1180409,-0.0734,0.9317
1188298,-0.0630,0.9316
1196284,-0.0449,0.9326
1204338,-0.0287,0.9336
1212260,-0.0150,0.9321
1220313,0.0035,0.9267
1228260,0.0377,0.9132
1236327,0.0965,0.8903
1244318,0.1835,0.8593
1252326,0.2881,0.8230
1260271,0.3949,0.7823
1268309,0.5034,0.7357
1276453,0.5635,0.7017
1284309,0.5623,0.7009
1292283,0.5620,0.7007
